Neighborhood_ID;Neighborhood;Average_Monthly_Income;Literacy_Rate;Population_with_Income;Total_Literate_Population;Total_Private_Households;Total_Resident_Population
3547809001;Tamanduateí 2;2332.17;95.9;2174.0;3423.0;1279.0;3830.0
3547809002;Vila Metalúrgica;1552.14;97.9;6948.0;10453.0;3692.0;10964.0
3547809003;Vila Camilópolis;1699.73;98.5;10315.0;15946.0;5484.0;16733.0
3547809004;Jardim Utinga;1267.53;97.3;2747.0;4344.0;1462.0;4578.0
3547809005;Jardim das Maravilhas;1317.66;97.5;2885.0;4545.0;1508.0;4794.0
3547809006;Vila Lucinda;1400.34;97.8;3591.0;5809.0;2027.0;6125.0
3547809007;Jardim Santo Antônio;1484.02;97.9;5577.0;8603.0;2902.0;9036.0
3547809008;Vila Francisco Matarazzo;1547.4;97.9;2816.0;4236.0;1454.0;4433.0
3547809009;Parque Oratório;1518.62;98.7;7018.0;11075.0;3700.0;11564.0
3547809010;Parque das Nações;1947.46;98.3;9285.0;13902.0;4932.0;14547.0
3547809011;Santa Terezinha;2082.7;98.9;3990.0;5706.0;2089.0;5987.0
3547809012;Tamanduateí 4;976.53;94.1;1608.0;2483.0;847.0;2692.0
3547809013;Tamanduateí 1;1835.83;98.8;587.0;975.0;323.0;1036.0
3547809014;Campestre;2956.62;99.1;9277.0;13619.0;4985.0;14249.0
3547809015;Tamanduateí 3;5462.28;99.5;541.0;804.0;281.0;851.0
3547809016;Bangú;2250.72;98.2;2682.0;3934.0;1391.0;4101.0
3547809017;Tamanduateí 5;nan;nan;nan;nan;nan;3.0
3547809018;Jardim;5850.56;99.5;5274.0;7684.0;2851.0;8034.0
3547809019;Santa Maria;2050.13;97.9;3062.0;4465.0;1506.0;4636.0
3547809020;Vila Palmares;1229.89;96.9;8337.0;13768.0;4619.0;14641.0
3547809021;Vila Sacadura Cabral;1140.03;95.6;5846.0;10718.0;3167.0;11374.0
3547809022;Vila Alpina;2694.99;99.2;1070.0;1539.0;533.0;1590.0
3547809023;Vila Guiomar;2204.17;98.6;4450.0;6142.0;2315.0;6406.0
3547809024;Centro;2916.32;98.9;2697.0;3532.0;1478.0;3621.0
3547809025;Casa Branca;2485.95;98.9;1524.0;2195.0;853.0;2282.0
3547809026;Tamanduateí 7;2686.82;99.5;1070.0;1577.0;603.0;1740.0
3547809027;Parque Marajoara;1722.64;98.7;4819.0;7721.0;2449.0;8107.0
3547809028;Vila Homero Thon;2017.85;98.2;3256.0;4904.0;1805.0;5200.0
3547809029;Vila América;1800.13;98.7;2850.0;4145.0;1495.0;4335.0
3547809030;Bairro Silveira;2282.87;98.9;1839.0;2672.0;1006.0;2810.0
3547809031;Vila Alzira;2039.95;98.7;4868.0;7159.0;2608.0;7456.0
3547809032;Vila Assunção;3580.41;99.1;9273.0;13613.0;5142.0;14182.0
3547809033;Vila Bastos;5245.41;99.7;3660.0;5443.0;2020.0;5655.0
3547809034;Jardim Bela Vista;3966.23;99.5;4972.0;6987.0;2795.0;7317.0
3547809035;Vila Alice;2922.01;98.6;1583.0;2385.0;882.0;2475.0
3547809036;Vila Príncipe de Gales;1253.79;94.4;5462.0;9392.0;3040.0;10220.0
3547809037;Vila Valparaíso;3039.53;99.0;5907.0;8602.0;3215.0;9131.0
3547809038;Vila Floresta;2110.65;98.6;4355.0;6529.0;2312.0;6856.0
3547809039;Vila Gilda;3732.38;99.4;3997.0;5621.0;2118.0;5964.0
3547809040;Paraíso;1549.1;96.8;2307.0;3833.0;1285.0;4114.0
3547809041;Vila Pires;2287.08;99.0;6437.0;9423.0;3413.0;9879.0
3547809042;Vila Humaitá;1545.46;98.5;2844.0;4339.0;1533.0;4568.0
3547809043;Vila Guarani;1103.97;96.5;2288.0;3740.0;1232.0;3952.0
3547809044;Jardim Marek;1317.93;98.1;3472.0;5560.0;1746.0;5886.0
3547809045;Cidade São Jorge;1075.3;95.0;8583.0;14231.0;4766.0;15454.0
3547809046;Parque Gerassi;1139.71;96.6;4365.0;7584.0;2311.0;8066.0
3547809047;Vila Progresso;1288.81;97.8;3115.0;4903.0;1642.0;5190.0
3547809048;Vila Helena;1606.88;98.3;7208.0;11362.0;4051.0;11915.0
3547809049;Vila Scarpelli;2098.86;98.3;3887.0;5945.0;1974.0;6220.0
3547809050;Jardim Bom Pastor;1563.13;97.6;3809.0;5653.0;1903.0;5942.0
3547809051;Jardim Stella;2103.45;98.6;7130.0;10926.0;3863.0;11528.0
3547809052;Jardim Cristiane;1174.89;96.5;6975.0;11152.0;3665.0;11886.0
3547809053;Vila Linda;1359.04;97.0;5572.0;8849.0;2957.0;9286.0
3547809054;Vila Junqueira;1502.66;98.1;2338.0;3942.0;1270.0;4117.0
3547809055;Jardim Ipanema;1292.9;96.8;3413.0;5677.0;1855.0;6036.0
3547809056;Vila Guaraciaba;1192.54;97.3;2171.0;3549.0;1160.0;3763.0
3547809057;Condomínio Maracanã;1006.28;95.8;5128.0;9298.0;2894.0;10029.0
3547809058;Vila Tibiriçá;1454.12;97.9;1585.0;2392.0;786.0;2517.0
3547809059;Vila Suíça;1048.17;96.1;5916.0;9806.0;3266.0;10548.0
3547809060;Vila Lutécia;1668.03;98.5;2304.0;3449.0;1275.0;3714.0
3547809061;Jardim Santa Cristina;1267.75;96.7;8451.0;14681.0;4870.0;15819.0
3547809062;Jardim do Estádio;1143.06;97.0;7157.0;11865.0;3827.0;12598.0
