neighborhood_id;name;area_km2;average_monthly_income;literacy_rate;population_with_income;total_literate_population;total_private_households;total_resident_population;centroid_lat;centroid_lon
3547809002;Vila Metalúrgica;3311472.0;1552.14;97.9;6948.0;10453.0;3692.0;10964.0;-23.62122245535003;-46.53923518928277
3547809003;Vila Camilópolis;1395513.62;1699.73;98.5;10315.0;15946.0;5484.0;16733.0;-23.621151499763897;-46.52785187064622
3547809004;Jardim Utinga;503431.156;1267.53;97.3;2747.0;4344.0;1462.0;4578.0;-23.618967803696492;-46.52011198385385
3547809005;Jardim das Maravilhas;380578.594;1317.66;97.5;2885.0;4545.0;1508.0;4794.0;-23.622232590120152;-46.51658608108165
3547809006;Vila Lucinda;593390.5;1400.34;97.8;3591.0;5809.0;2027.0;6125.0;-23.627055950282514;-46.51381712124977
3547809007;Jardim Santo Antônio;791714.562;1484.02;97.9;5577.0;8603.0;2902.0;9036.0;-23.628370855912152;-46.52227011738432
3547809008;Vila Francisco Matarazzo;352472.812;1547.4;97.9;2816.0;4236.0;1454.0;4433.0;-23.63261205800098;-46.51747022802867
3547809009;Parque Oratório;1091829.88;1518.62;98.7;7018.0;11075.0;3700.0;11564.0;-23.631078959780695;-46.507907888594545
3547809010;Parque das Nações;1415730.5;1947.46;98.3;9285.0;13902.0;4932.0;14547.0;-23.636929295390516;-46.52102445991552
3547809011;Santa Terezinha;945264.938;2082.7;98.9;3990.0;5706.0;2089.0;5987.0;-23.63757384612423;-46.5329911850784
3547809014;Campestre;2438145.25;2956.62;99.1;9277.0;13619.0;4985.0;14249.0;-23.637249740331175;-46.54517361856248
3547809016;Bangú;958787.25;2250.72;98.2;2682.0;3934.0;1391.0;4101.0;-23.645559926529398;-46.52705350713013
3547809018;Jardim;1717248.38;5850.56;99.5;5274.0;7684.0;2851.0;8034.0;-23.648626183832004;-46.53675702505425
3547809019;Santa Maria;589017.562;2050.13;97.9;3062.0;4465.0;1506.0;4636.0;-23.648403909930416;-46.55118264295988
3547809020;Vila Palmares;908321.938;1229.89;96.9;8337.0;13768.0;4619.0;14641.0;-23.64965982210893;-46.56044970376206
3547809021;Vila Sacadura Cabral;477047.406;1140.03;95.6;5846.0;10718.0;3167.0;11374.0;-23.656489261793574;-46.5568134582662
3547809022;Vila Alpina;283249.969;2694.99;99.2;1070.0;1539.0;533.0;1590.0;-23.652066343017438;-46.54274194560354
3547809023;Vila Guiomar;942665.25;2204.17;98.6;4450.0;6142.0;2315.0;6406.0;-23.6565891904743;-46.544450732665084
